,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
119,23.766964,7.688470,-0.241647,-0.162603,-0.215550,1.859387,-9.587336,9.789402,16.023612
120,23.966686,7.679479,-0.273660,-0.155511,-0.467823,2.116978,-9.412297,9.703988,16.023612
121,24.166409,7.663890,-0.304237,-0.147975,-0.715756,2.372594,-9.225402,9.632904,16.023612
122,24.366131,7.641865,-0.332993,-0.138093,-0.958488,2.626048,-9.013397,9.561925,16.023612
123,24.565853,7.613587,-0.359347,-0.125322,-1.195180,2.877144,-8.736995,9.448307,16.023612
124,24.765576,7.579126,-0.382939,-0.111442,-1.425000,3.125675,-8.378563,9.270343,16.023612
125,24.965298,7.538410,-0.403935,-0.098880,-1.647089,3.371402,-7.980310,9.071459,16.023612
126,25.165020,7.491495,-0.422639,-0.087514,-1.860563,3.614064,-7.577823,8.890636,16.023612
127,25.364743,7.438668,-0.439017,-0.075357,-2.064539,3.853378,-7.164496,8.720255,16.023612
128,25.564465,7.380257,-0.452704,-0.061018,-2.258163,4.089046,-6.716825,8.531013,16.023612
129,25.764188,7.316446,-0.463267,-0.044588,-2.440595,4.320754,-6.223710,8.305871,16.023612
130,25.963910,7.247296,-0.470405,-0.026888,-2.610987,4.548151,-5.692074,8.049600,16.023612
131,26.163632,7.172882,-0.473938,-0.008431,-2.768464,4.770850,-5.134534,7.775071,16.023612
132,26.363355,7.093408,-0.473705,0.010973,-2.912133,4.988404,-4.559569,7.489140,16.023612
133,26.563077,7.009209,-0.469450,0.032057,-3.041107,5.200246,-3.960311,7.176708,16.023612
134,26.762800,6.920508,-0.460805,0.054884,-3.154505,5.405741,-3.317901,6.795560,16.023612
135,26.962522,6.826983,-0.447526,0.077046,-3.251387,5.604169,-2.635636,6.333213,16.023612
136,27.162244,6.727987,-0.429934,0.094588,-3.330668,5.794676,-1.944677,5.839897,16.023612
137,27.361967,6.623478,-0.409067,0.105731,-3.391139,5.976271,-1.264116,5.362771,16.023612
138,27.561689,6.514340,-0.386161,0.112141,-3.431581,6.147839,-0.591098,4.906665,16.023612
139,27.761411,6.401874,-0.362032,0.117038,-3.450900,6.308198,0.082509,4.452153,16.023612
140,27.961134,6.287268,-0.336818,0.123129,-3.448158,6.456115,0.759070,3.975609,16.023612
141,28.160856,6.171331,-0.310185,0.131255,-3.422541,6.590284,1.434541,3.466537,16.023612
142,28.360579,6.054686,-0.281734,0.140955,-3.373295,6.709285,2.106456,2.928777,16.023612
143,28.560301,5.938169,-0.251165,0.152463,-3.299734,6.811563,2.771900,2.360906,16.023612
144,28.760023,5.822701,-0.218067,0.166110,-3.201268,6.895430,3.356753,1.866194,16.023612
145,28.959746,5.709116,-0.182049,0.181293,-3.079864,6.962925,3.459065,2.114713,16.023612
146,29.159468,5.598049,-0.142848,0.197863,-2.952488,7.040797,3.625176,2.235995,16.023612
147,29.359191,5.489948,-0.100175,0.216244,-2.816633,7.124592,3.823977,2.266600,16.023612
148,29.558913,5.385313,-0.053701,0.235994,-2.670801,7.211031,4.042779,2.222257,16.023612
149,29.758635,5.284771,-0.003372,0.255154,-2.514008,7.297218,4.288571,2.096304,16.023612
150,29.958358,5.189207,0.050362,0.272475,-2.345329,7.379670,4.536883,1.939083,16.023612
151,30.158080,5.099594,0.106912,0.287859,-2.165050,7.456722,4.762056,1.809817,16.023612
