,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
182,36.349474,6.321003,-0.450260,-0.049904,2.498823,8.323074,-0.325782,-0.425984,15.528496
183,36.549196,6.404316,-0.459150,-0.034119,2.487937,8.308841,-0.819534,-0.615586,15.528496
184,36.748919,6.486251,-0.464970,-0.020956,2.460800,8.288456,-1.285120,-0.778998,15.528496
185,36.948641,6.566488,-0.468351,-0.011163,2.418534,8.262836,-1.723427,-0.921344,15.528496
186,37.148364,6.644513,-0.469974,-0.004254,2.362280,8.232763,-2.140997,-1.049089,15.528496
187,37.348086,6.719565,-0.470236,0.001943,2.293250,8.198938,-2.534793,-1.162426,15.528496
188,37.547808,6.791122,-0.469094,0.008823,2.212742,8.162018,-2.891259,-1.259398,15.528496
189,37.747531,6.859097,-0.466462,0.015632,2.122066,8.122521,-3.204676,-1.340550,15.528496
190,37.947253,6.923485,-0.462487,0.021231,2.022493,8.080868,-3.476364,-1.408778,15.528496
191,38.146975,6.984211,-0.457492,0.025012,1.915272,8.037418,-3.710574,-1.467860,15.528496
192,38.346698,7.041124,-0.451872,0.027096,1.801640,7.992466,-3.913397,-1.521972,15.528496
193,38.546420,7.094016,-0.445914,0.028434,1.682835,7.946261,-4.081274,-1.571337,15.528496
194,38.746143,7.142784,-0.439696,0.029630,1.560084,7.899001,-4.209651,-1.615764,15.528496
195,38.945865,7.187418,-0.433242,0.030839,1.434599,7.850837,-4.301897,-1.658016,15.528496
196,39.145587,7.227905,-0.426506,0.032630,1.307569,7.801877,-4.359996,-1.700232,15.528496
197,39.345310,7.264255,-0.419293,0.035816,1.180154,7.752190,-4.380954,-1.742531,15.528496
198,39.545032,7.296546,-0.411255,0.040902,1.053486,7.701808,-4.358044,-1.783256,15.528496
199,39.744755,7.324933,-0.402009,0.047666,0.928658,7.650730,-4.291106,-1.822533,15.528496
200,39.944477,7.349586,-0.391250,0.055850,0.806742,7.598949,-4.180518,-1.854116,15.528496
201,40.144199,7.370678,-0.378695,0.065384,0.688825,7.546652,-3.935596,-1.426025,15.528496
202,40.343922,7.388428,-0.364073,0.076562,0.578591,7.506709,-3.729356,-1.050654,15.528496
203,40.543644,7.403058,-0.346980,0.090753,0.475018,7.477530,-3.570745,-0.861619,15.528496
204,40.743366,7.414783,-0.326722,0.108859,0.376708,7.453808,-3.416749,-0.832849,15.528496
205,40.943089,7.423817,-0.302552,0.130042,0.283154,7.431004,-3.229887,-0.832602,15.528496
206,41.142811,7.430348,-0.273934,0.153223,0.194899,7.408253,-2.997819,-0.748864,15.528496
207,41.342534,7.434562,-0.240513,0.176285,0.112795,7.387744,-2.730712,-0.328008,15.528496
208,41.542256,7.436634,-0.202508,0.195652,0.037497,7.378699,-2.507444,-0.303296,15.528496
209,41.741978,7.436711,-0.160795,0.212062,-0.031960,7.370297,-2.269059,-0.400848,15.528496
210,41.941701,7.434953,-0.115705,0.229379,-0.094860,7.359186,-1.998397,-0.513723,15.528496
211,42.141423,7.431550,-0.066885,0.248592,-0.150334,7.344925,-1.693769,-0.639742,15.528496
212,42.341146,7.426705,-0.014168,0.265511,-0.197518,7.327104,-1.366507,-0.783128,15.528496
213,42.540868,7.420675,0.040743,0.268577,-0.235571,7.305296,-1.031053,-0.957337,15.528496
214,42.740590,7.413843,0.092775,0.244405,-0.263780,7.279103,-0.679282,-1.172388,15.528496
215,42.940313,7.406656,0.135411,0.191292,-0.281682,7.248207,-0.286247,-1.407684,15.528496
216,43.140035,7.399385,0.165278,0.126969,-0.288976,7.212337,0.146911,-1.619672,15.528496
217,43.339757,7.392090,0.184095,0.078654,-0.285243,7.171182,-0.073022,1.326675,15.528496
218,43.539480,7.384645,0.197051,0.061996,-0.287142,7.205693,-0.390385,3.365000,15.528496
219,43.739202,7.376851,0.209879,0.071545,-0.297550,7.295407,-0.392299,3.055417,15.528496
220,43.938925,7.368658,0.226254,0.094031,-0.308163,7.378060,-0.372229,2.728226,15.528496
221,44.138647,7.360056,0.248334,0.126962,-0.318384,7.452973,-0.328069,2.358804,15.528496
222,44.338369,7.350963,0.279191,0.174606,-0.327620,7.519382,-0.269040,2.002684,15.528496
223,44.538092,7.341512,0.320768,0.222615,-0.335291,7.576483,-0.204925,1.722683,15.528496
224,44.737814,7.332244,0.367578,0.239535,-0.340908,7.623707,-0.131293,1.496893,15.528496
225,44.937537,7.323694,0.409093,0.210401,-0.344185,7.661067,-0.036740,1.240209,15.528496
226,45.137259,7.315939,0.438683,0.145444,-0.345012,7.688979,0.079709,0.897068,15.528496
227,45.336981,7.308727,0.454713,0.061737,-0.343342,7.707777,-0.000437,2.604778,15.528496
228,45.536704,7.301670,0.457395,-0.025089,-0.343351,7.761317,-0.022269,2.104143,15.528496
229,45.736426,7.294450,0.447240,-0.105808,-0.343819,7.805527,-0.035139,1.566051,15.528496
230,45.936148,7.286942,0.424521,-0.179319,-0.344585,7.839688,-0.039902,1.010642,15.528496
231,46.135871,7.279031,0.389244,-0.244073,-0.345500,7.862861,-0.037467,0.446746,15.528496
232,46.335593,7.270541,0.341532,-0.292962,-0.346420,7.873825,-0.029344,-0.107471,15.528496
233,46.535316,7.261272,0.283209,-0.309732,-0.347204,7.870952,-0.007443,-0.085224,15.528496
234,46.735038,7.251211,0.221877,-0.271802,-0.347419,7.868483,-0.050539,-0.661549,15.528496
235,46.934760,7.240773,0.172637,-0.178294,-0.348934,7.848652,-0.093062,-1.296028,15.528496
236,47.134483,7.230449,0.146318,-0.071806,-0.351677,7.810456,-0.137697,-1.997751,15.528496
237,47.334205,7.220366,0.139883,0.001995,-0.355603,7.753496,-0.184256,-2.738988,15.528496
238,47.533927,7.210429,0.144132,0.034606,-0.360715,7.677506,-0.232630,-3.497103,15.528496
239,47.733650,7.200502,0.151846,0.041242,-0.367062,7.582101,-0.283097,-4.258143,15.528496
240,47.933372,7.190452,0.159642,0.038178,-0.374733,7.466713,-0.336982,-5.027052,15.528496
241,48.133095,7.180183,0.166605,0.033426,-0.383856,7.330620,-0.396296,-5.821183,15.528496
242,48.332817,7.169646,0.172593,0.028005,-0.394585,7.173020,-0.462353,-6.649014,15.528496
243,48.532539,7.158799,0.177371,0.020987,-0.407096,6.993094,-0.535045,-7.495239,15.528496
244,48.732262,7.147582,0.180661,0.012962,-0.421580,6.790195,-0.613000,-8.323457,15.528496
245,48.931984,7.135919,0.182428,0.005504,-0.438212,6.564366,-0.694339,-9.126646,15.528496
246,49.131707,7.123726,0.182909,-0.000172,-0.457123,6.315791,-0.778187,-9.918157,15.528496
247,49.331429,7.110941,0.182428,-0.004807,-0.478393,6.044699,-0.863804,-10.709481,15.528496
248,49.531151,7.097525,0.180922,-0.011264,-0.502033,5.751610,-0.948014,-11.492843,15.528496
249,49.730874,7.083433,0.177801,-0.021635,-0.527973,5.437142,-1.026451,-12.249938,15.528496
250,49.930596,7.068601,0.172254,-0.036420,-0.556062,5.101914,-1.094352,-12.958986,15.528496
251,50.130318,7.052939,0.163479,-0.054630,-0.586075,4.746508,-1.147455,-13.604498,15.528496
252,50.330041,7.036346,0.150973,-0.074334,-0.617709,4.371451,-1.183407,-14.192947,15.528496
253,50.529763,7.018731,0.134534,-0.094248,-0.650581,3.977213,-1.199033,-14.720580,15.528496
254,50.729486,7.000007,0.114209,-0.112173,-0.684220,3.564221,11.094397,-2.492454,15.528496
255,50.929208,6.985057,0.090689,-0.124071,-0.369381,3.493489,9.989323,-3.059370,15.528496
256,51.128930,6.978575,0.065470,-0.127393,-0.083294,3.405871,8.962200,-3.592052,15.528496
257,51.328653,6.979888,0.040287,-0.123012,0.174574,3.302518,8.002572,-4.093783,15.528496
258,51.528375,6.988228,0.016460,-0.114268,0.404910,3.184687,7.088993,-4.561024,15.528496
259,51.728098,7.002781,-0.005504,-0.105000,0.608519,3.053687,6.206904,-4.988463,15.528496
260,51.927820,7.022753,-0.025739,-0.097162,0.786268,2.910830,5.353879,-5.375413,15.528496
261,52.127542,7.047372,-0.044520,-0.090222,0.939063,2.757421,4.532160,-5.725076,15.528496
262,52.327265,7.075884,-0.061862,-0.082629,1.067839,2.594749,3.741882,-6.039645,15.528496
263,52.526987,7.107553,-0.077512,-0.073413,1.173575,2.424085,2.981382,-6.318911,15.528496
264,52.726709,7.141677,-0.091111,-0.062353,1.257281,2.246674,2.247327,-6.556982,15.528496
265,52.926432,7.177631,-0.102403,-0.050965,1.319982,2.063731,1.538946,-6.747998,15.528496
266,53.126154,7.214861,-0.111589,-0.041502,1.362697,1.876434,0.859308,-6.896718,15.528496
267,53.325877,7.252831,-0.119130,-0.034301,1.386434,1.685925,0.209949,-7.008266,15.528496
268,53.525599,7.291013,-0.125392,-0.028543,1.392204,1.493319,-0.408999,-7.086321,15.528496
269,53.725321,7.328899,-0.130539,-0.022849,1.381029,1.299703,-0.997428,-7.125895,15.528496
270,53.925044,7.366045,-0.134512,-0.017104,1.353934,1.106133,-1.552822,-7.115780,15.528496
271,54.124766,7.402103,-0.137506,-0.013436,1.311929,0.913643,-2.074013,-7.060185,15.528496
272,54.324489,7.436728,-0.140097,-0.012971,1.255997,0.723246,0.247156,-4.759018,15.528496
273,54.524211,7.470563,-0.142816,-0.014259,1.262638,0.595384,0.210935,-4.161333,15.528496
274,54.723933,7.504380,-0.145750,-0.014723,1.268275,0.484180,-0.405160,-4.006179,15.528496
275,54.923656,7.537919,-0.148572,-0.013225,1.257515,0.377785,-0.991494,-3.811440,15.528496
