%time,field.header.seq,field.header.stamp,field.header.frame_id,field.need_vel_planner,field.state
5985865000000,206953,5985865000000,,0,TRAILING
5985899000000,206954,5985899000000,,0,TRAILING
5985899000000,206955,5985916000000,,0,TRAILING
5985899000000,206956,5985916000000,,0,TRAILING
5985950000000,206957,5985916000000,,0,TRAILING
5985950000000,206958,5985933000000,,0,TRAILING
5985950000000,206959,5985933000000,,0,TRAILING
5985950000000,206960,5985950000000,,0,TRAILING
5985967000000,206961,5985967000000,,0,TRAILING
5985967000000,206962,5985967000000,,0,TRAILING
5986001000000,206963,5985984000000,,0,TRAILING
5986018000000,206964,5986018000000,,0,TRAILING
5986035000000,206965,5986018000000,,0,TRAILING
5986035000000,206966,5986018000000,,0,TRAILING
5986035000000,206967,5986035000000,,0,TRAILING
5986052000000,206968,5986052000000,,0,TRAILING
5986071000000,206969,5986071000000,,0,TRAILING
5986071000000,206970,5986071000000,,0,TRAILING
5986105000000,206971,5986088000000,,0,TRAILING
5986105000000,206972,5986105000000,,0,TRAILING
5986105000000,206973,5986105000000,,0,TRAILING
5986122000000,206974,5986122000000,,0,TRAILING
5986139000000,206975,5986139000000,,0,TRAILING
5986139000000,206976,5986156000000,,0,TRAILING
5986190000000,206977,5986156000000,,0,TRAILING
5986190000000,206978,5986173000000,,0,TRAILING
5986224000000,206979,5986207000000,,0,TRAILING
5986224000000,206980,5986207000000,,0,TRAILING
5986241000000,206981,5986207000000,,0,TRAILING
5986241000000,206982,5986241000000,,0,TRAILING
5986241000000,206983,5986241000000,,0,TRAILING
5986241000000,206984,5986241000000,,0,TRAILING
5986264000000,206985,5986264000000,,0,TRAILING
5986281000000,206986,5986281000000,,0,TRAILING
5986281000000,206987,5986281000000,,0,TRAILING
5986332000000,206988,5986298000000,,0,GB_TRACK
5986332000000,206989,5986315000000,,0,GB_TRACK
5986332000000,206990,5986332000000,,0,GB_TRACK
5986332000000,206991,5986332000000,,0,GB_TRACK
5986360000000,206992,5986360000000,,0,GB_TRACK
5986394000000,206993,5986360000000,,0,GB_TRACK
5986394000000,206994,5986377000000,,0,GB_TRACK
5986394000000,206995,5986394000000,,0,GB_TRACK
5986394000000,206996,5986394000000,,0,GB_TRACK
5986411000000,206997,5986411000000,,0,GB_TRACK
5986445000000,206998,5986445000000,,0,GB_TRACK
5986445000000,206999,5986445000000,,0,GB_TRACK
5986445000000,207000,5986445000000,,0,GB_TRACK
5986462000000,207001,5986462000000,,0,GB_TRACK
5986496000000,207002,5986496000000,,0,GB_TRACK
5986547000000,207003,5986496000000,,0,GB_TRACK
5986547000000,207004,5986496000000,,0,GB_TRACK
5986547000000,207005,5986530000000,,0,GB_TRACK
5986547000000,207006,5986547000000,,0,GB_TRACK
