%time,field.data
5980542000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 51.0, "rc_age_ms": 51.0, "n_wpnts": 80}
5980572000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 7.0, "rc_age_ms": 7.0, "n_wpnts": 80}
5980572000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 7.0, "rc_age_ms": 7.0, "n_wpnts": 80}
5980589000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980589000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980606000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980606000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980623000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980640000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5980640000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5980657000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980674000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5980708000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980708000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5980708000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5980742000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980742000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980742000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980759000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980776000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980810000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
